Date;ALV.DE;KNEBV.HE;KER.PA;FP.PA;VOW3.DE;SAN.PA;SU.PA;ENEL.MI;ISP.MI;INGA.AS;BAYN.DE;IBE.MC;MC.PA;CRH.L;SIE.DE;DAI.DE;LIN.DE;ENGI.PA;AI.PA;ENI.MI;PHIA.AS;MUV2.DE;BAS.DE;BMW.DE;OR.PA;RI.PA
2010-05-24;81.5;15.385000228881836;84.96977233886719;37.755001068115234;66.75;46.79499053955078;39.0099983215332;3.625;2.014394998550415;6.504000186920166;45.20440673828125;5.300000190734863;84.0;1558.4000244140625;69.03368377685547;39.0;61.45000076293945;25.25;51.28907775878906;15.199999809265137;23.370920181274414;101.8499984741211;42.13999938964844;36.29999923706055;74.2699966430664;60.189998626708984
2010-05-25;78.1500015258789;14.920000076293945;84.30057525634766;36.5;66.83000183105469;45.529998779296875;37.54999923706055;3.5174999237060547;1.899886965751648;6.0;43.2017707824707;5.11899995803833;80.51000213623047;1481.0;66.30101776123047;37.2599983215332;61.45000076293945;24.200000762939453;49.338165283203125;14.5;22.449609756469727;99.0;40.43000030517578;35.560001373291016;71.5999984741211;58.88999938964844
2010-05-26;79.9000015258789;15.104999542236328;85.19284057617188;37.790000915527344;66.66999816894531;46.625;38.05500030517578;3.6024999618530273;1.941951036453247;6.199999809265137;43.654457092285156;5.130000114440918;83.0;1525.699951171875;67.79332733154297;37.5;61.45000076293945;24.524999618530273;50.45030975341797;14.84000015258789;22.929866790771484;101.19999694824219;41.220001220703125;35.79999923706055;74.38999938964844;59.91999816894531
2010-05-27;78.9000015258789;15.470000267028809;87.74880981445312;37.209999084472656;69.7300033569336;47.81999969482422;39.310001373291016;3.6500000953674316;1.9232560396194458;6.309999942779541;44.284278869628906;5.164999961853027;84.76000213623047;1549.0;69.65386199951172;38.599998474121094;60.2599983215332;24.954999923706055;51.661861419677734;15.100000381469727;23.767868041992188;100.9000015258789;42.0;36.29999923706055;74.88999938964844;60.16999816894531
2010-05-28;81.69000244140625;16.024999618530273;89.84935760498047;38.310001373291016;70.87000274658203;49.13499069213867;41.11000061035156;3.765000104904175;2.0564589500427246;6.638000011444092;45.00266647338867;5.452000141143799;87.12999725341797;1623.9000244140625;71.70820617675781;40.54999923706055;60.2599983215332;25.600000381469727;53.86186981201172;15.600000381469727;24.404945373535156;104.69999694824219;43.599998474121094;37.41999816894531;76.30000305175781;61.20000076293945
2010-05-31;81.08000183105469;15.895000457763672;90.43490600585938;38.04499053955078;70.18000030517578;49.290000915527344;39.67499923706055;3.7325000762939453;1.9933630228042603;6.419000148773193;44.9879035949707;5.364999771118164;85.87000274658203;;71.05895233154297;40.349998474121094;60.2599983215332;25.56999969482422;52.7667121887207;15.260000228881836;23.699260711669922;103.19999694824219;42.72499084472656;37.56999969482422;76.19999694824219;61.630001068115234
2010-06-01;80.83999633789062;15.869999885559082;90.5185546875;37.599998474121094;71.5;49.1150016784668;40.3650016784668;3.7249999046325684;2.0190680027008057;6.410999774932861;44.63363265991211;5.385000228881836;85.58999633789062;1541.199951171875;71.54347229003906;40.75;63.70000076293945;25.030000686645508;52.68042755126953;15.15999984741211;23.606149673461914;102.8499984741211;42.599998474121094;37.959999084472656;76.0;61.4900016784668
2010-06-02;80.68000030517578;15.890000343322754;91.14128112792969;37.6150016784668;71.69999694824219;49.15999984741211;41.064998626708984;3.742500066757202;1.9536360502243042;6.38100004196167;44.77632522583008;5.36899995803833;86.37000274658203;1565.300048828125;71.17523956298828;40.5;63.189998626708984;25.200000762939453;52.93264389038086;15.109999656677246;23.503236770629883;102.5999984741211;42.54999923706055;37.79999923706055;76.7300033569336;61.20000076293945
2010-06-03;82.41000366210938;16.280000686645508;93.73442840576172;38.900001525878906;72.9000015258789;49.96500015258789;42.25;3.7725000381469727;2.0120580196380615;6.579999923706055;46.365638732910156;5.380000114440918;89.31999969482422;1635.0;72.91949462890625;41.75;63.040000915527344;25.90999984741211;54.18709945678711;15.5;24.238325119018555;104.6500015258789;43.880001068115234;39.2400016784668;78.37000274658203;62.880001068115234
2010-06-04;81.54000091552734;16.325000762939453;93.50206756591797;39.38999938964844;72.19999694824219;50.040000915527344;42.654998779296875;3.819999933242798;1.9863519668579102;6.585999965667725;46.72483444213867;5.388000011444092;89.11000061035156;1631.5999755859375;73.11329650878906;41.54999923706055;63.040000915527344;26.100000381469727;54.62516403198242;15.579999923706055;24.50295639038086;103.3499984741211;43.9900016784668;39.349998474121094;78.05999755859375;62.9900016784668
