Dates;date;Entreprises;NUMBER_EMPLOYEES_CSR;yearly_return;SP 500;AUDIT_COMMITTEE_MEETINGS;SAY_PAY_SUPPORT_LEVEL;TOT_OTHER_COMP_AW_TO_CEO_&_EQUIV;TOTAL_EXEC_PAY_AS_PCT_OPEX;TOT_SALARIES_PAID_TO_CEO_&_EQUIV;TOT_SALARIES_&_BNS_PD_TO_EXECS;TOT_N_EQTY_INCENT_GIVEN_TO_EXECS;SAY_PAY_NUMBER_OF_VOTES_FOR;TOT_EXEC_PAY_AS_PCT_SG&A_NET_R&D;TOT_OPTION_AWARDS_GIVEN_TO_EXECS;TOT_EXEC_PAY_AS_PCT_TOT_PSNL_EXP;TOT_N_EQT_INCENT_GVN_TO_CEO_&_EQ;PCT_BOD_COMP_PD_IN_STK_AWD;NUM_EXECUTIVE_CHANGES;AVERAGE_BOD_TOTAL_COMPENSATION;ESG_DISCLOSURE_SCORE;CFO_TENURE_AS_OF_FY_END;CHG_OF_CTRL_BFIT_GOLD_CHUTE_AGR;CLAWBACK_PROVISION_FOR_EXEC_COMP;GENDER_PAY_GAP_BREAKOUT;BLANK_CHECK_PREFERRED_AUTHORIZED
2013-12-31;2013-12-31;ENEL IM Equity;71394.0;7.474202;29.6;13.0;94.26237245584767;74365.0;0.006299999999999972;1424261.0;3203735.0;3125036.0;2024.3492720719835;0.008900000000000019;1920093.1413476684;0.09560000000000002;2525036.0;19.0535;0.0;275540.5;66.9421;4.331234337970984;0;0;0;0
2014-12-31;2014-12-31;ENEL IM Equity;68961.0;19.978089999999998;11.39;13.0;91.63515474094439;74365.0;0.006299999999999972;1424261.0;0.0;3125036.0;2421.9713980095758;0.008900000000000019;1383816.357079143;0.09560000000000002;2525036.0;19.0535;0.0;143171.0;66.9421;5.154878664898107;0;0;0;0
2015-12-31;2015-12-31;ENEL IM Equity;67914.0;8.784945;-0.73;13.0;93.06447762208052;127050.0;0.0044999999999999485;1155000.0;2541000.0;3125036.0;1547.2496626750615;0.008900000000000019;1660339.562783563;0.05689999999999995;2525036.0;19.0535;0.0;146155.5;68.1818;4.345866945770553;0;0;0;0
2016-12-31;2016-12-31;ENEL IM Equity;62080.0;11.95743;9.54;13.0;97.291;127050.0;0.00539999999999996;1155000.0;2808585.0;3125036.0;5723.24;0.008900000000000019;1963148.1783619747;0.07150000000000001;2525036.0;19.0535;0.0;156398.25;68.1818;4.306023815343177;0;0;0;0
2017-12-31;2017-12-31;ENEL IM Equity;62900.0;27.510609999999996;19.42;15.0;87.66;161700.0;0.007800000000000029;1366689.0;4222401.0;3125036.0;5456.94;0.008900000000000019;1570810.3168704028;0.11169999999999991;2525036.0;19.0535;0.0;173221.0;68.595;4.322225537296393;0;0;1;0
2018-12-31;2018-12-31;ENEL IM Equity;69272.0;3.084868;-6.24;14.0;95.89399999999999;161700.0;0.009199999999999986;1470000.0;4868093.999999996;3125036.0;6169.5;0.008900000000000019;744460.941659017;0.13160000000000005;2525036.0;19.0535;0.0;179460.625;67.3554;4.488139768740997;1;0;1;0
2019-12-31;2019-12-31;ENEL IM Equity;68253.0;47.20473;28.88;12.0;97.40100000000001;161700.0;0.008399999999999963;1470000.0;5247606.0;3125036.0;6977.68;0.008900000000000019;1869425.1985171898;0.13250000000000006;2525036.0;19.0535;0.0;178639.75;65.7025;4.948944134374154;1;0;1;0
2005-12-31;2005-12-31;FP FP Equity;112877.0;36.14232;-30.3;7.0;94.84526144607884;232696.43614848508;2.992199478970114;1064400.8661931255;149900789.58805653;1087514.0369799503;1579.2673649392696;2.434952728302921;1943178.1509798737;3.106552484204679;46560.044692161144;3.3819722522659212;1.1481066849821047;-1388886.6075512955;48.5477;4.459919214122749;0;0;0;0
2006-12-31;2006-12-31;FP FP Equity;95070.0;7.854539;13.62;6.0;90.20763067840898;526455.9462672854;1.5212145512967221;1633786.4315659548;22660524.72211981;1499565.929385047;2346.7635774435767;0.47747892658302377;1652550.5670129275;-1.6553373632942567;750727.8576133646;3.7501055700652204;1.080041847524067;851727.6572714727;50.2075;4.450118201020291;0;0;0;0
2007-12-31;2007-12-31;FP FP Equity;96442.0;7.788136;3.53;6.0;90.55346457622827;279332.6933363078;0.006099999999999994;2343286.0;4724535.0;951099.2182272993;1703.9670245737016;0.006199999999999983;1244021.9272739035;0.11299999999999999;518858.00319586694;1.682654031235481;2.0;84249.20000000001;52.6971;4.293846370377986;0;0;0;0
