,AUDIT_COMMITTEE_MEETINGS,SAY_PAY_SUPPORT_LEVEL,TOT_OTHER_COMP_AW_TO_CEO_&_EQUIV,TOTAL_EXEC_PAY_AS_PCT_OPEX,TOT_SALARIES_PAID_TO_CEO_&_EQUIV,TOT_SALARIES_&_BNS_PD_TO_EXECS,TOT_N_EQTY_INCENT_GIVEN_TO_EXECS,SAY_PAY_NUMBER_OF_VOTES_FOR,TOT_EXEC_PAY_AS_PCT_SG&A_NET_R&D,TOT_OPTION_AWARDS_GIVEN_TO_EXECS,TOT_EXEC_PAY_AS_PCT_TOT_PSNL_EXP,TOT_N_EQT_INCENT_GVN_TO_CEO_&_EQ,PCT_BOD_COMP_PD_IN_STK_AWD,NUM_EXECUTIVE_CHANGES,AVERAGE_BOD_TOTAL_COMPENSATION,ESG_DISCLOSURE_SCORE,CFO_TENURE_AS_OF_FY_END,CHG_OF_CTRL_BFIT_GOLD_CHUTE_AGR,CLAWBACK_PROVISION_FOR_EXEC_COMP,GENDER_PAY_GAP_BREAKOUT,BLANK_CHECK_PREFERRED_AUTHORIZED,Dates,Entreprises
31,4.0,82.34447985031782,123017.55330089893,0.14402636793415505,1226222.9343905195,13012887.574918054,1945852.9689329087,177.32603997751698,0.23197834115337915,617650.2705298684,0.1281842086247168,1275464.9062277859,12.780609491836373,3.9978091416862123,173724.21580967127,39.6694,4.332994148496159,0.9999932500455622,5.416622554542752e-06,0.0,1.000000013678139,2006-12-31,10
32,4.0,93.72925463771277,76862.06593813386,0.079,748872.0,7754442.0,949499.9370650053,817.5506435374705,0.099,17937.25751898256,0.13,260151.7249309602,0.0,0.0,89363.837,49.1736,1.9229873801349444,0.9999996597224153,0.0,0.0,3.8132780390478186e-10,2007-12-31,10
33,4.0,93.5687538080504,106704.43505733149,0.108,794000.0,7603000.0,929818.3344330934,734.6358774392843,0.134,22448.962782974795,0.192,244504.94930546187,0.0,0.0,114950.0,52.0661,2.841021530273449,0.9999997401639751,0.0,0.0,2.850010078612724e-11,2008-12-31,10
34,4.0,93.54418654194473,106229.9616115213,0.095,812000.0,7598000.0,936796.3163616678,729.4913680552053,0.118,22165.099984589142,0.093,243052.36914169218,0.0,0.0,114950.0,58.2645,2.8436055943246408,0.9999998125000351,0.0,0.0,5.259328045049613e-09,2009-12-31,10
35,4.0,86.61233514682823,143820.4671443273,0.116,1773000.0,11485000.0,3900813.7465746044,224.1186213747983,0.143,1067129.1385212922,0.228,2787964.780575935,0.5825005257466905,4.0,109190.476,64.0496,1.0,1.0,0.0,0.0,0.0,2010-12-31,10
36,4.0,98.67228246466284,143271.236271177,0.116,1773000.0,0.0,2710086.751636843,1444.7311615394553,0.143,21262.252257419033,0.228,2189756.089531797,16.911291248868746,4.0,114950.0,64.0496,1.0,1.0,0.0,0.0,1.5109898499985936e-10,2011-12-31,10
37,4.0,98.9573801933258,491465.17088216386,0.057,1773000.0,4668000.0,2694486.9140278124,3905.65625240227,0.069,233703.6143847723,0.111,2288241.2352015516,5.035935249402922,0.0,109962.963,64.4628,3.0,1.0,0.0,0.0,1.533094491496198e-09,2012-12-31,10
38,4.0,80.11765216110994,249769.37672331266,0.109,1347000.0,8486000.0,1809700.0439357604,732.3437430580522,0.137,147492.4396390884,0.191,792563.1303718779,0.0,4.0,165450.0,64.0496,4.0,1.0,0.0,0.0,2.015049783085677e-09,2013-12-31,10
39,4.0,82.71580611094404,48595.574137164156,0.124,1363000.0,9169000.0,4720923.872749529,918.429225133765,0.158,1545271.2560254035,0.214,2318019.40551111,0.0,5.0,156476.19,66.5289,0.25,1.0,0.0,0.0,1.6923819592767796e-09,2014-12-31,10
40,4.0,81.098,40000.0,0.095,1374000.0,8818000.0,3068017.865131795,392.994,0.121,188577.12915752913,0.169,1514496.3480590498,0.0,1.0,149590.909,66.1157,1.25,1.0,0.0,0.0,8.298229255153114e-10,2015-12-31,10
41,4.0,81.098,146000.0,0.174,1760000.0,15448000.0,3712301.167472143,392.994,0.23,3297750.604592967,0.333,2359924.142797538,1.1262754601417893,6.0,158136.364,66.9421,2.25,1.0,0.0,0.0,0.0,2016-12-31,10
42,4.0,81.098,49000.0,0.171,1487000.0,12296000.0,3789405.942109618,392.994,0.226,2466431.7498747013,0.334,2650502.086943803,0.0,0.0,142423.077,65.7025,3.25,1.0,0.0,0.0,0.0,2017-12-31,10
43,4.0,81.098,46000.0,0.141,1511000.0,12763000.0,3819588.9406110058,392.994,0.182,2718903.7249580533,0.301,2580967.3453828343,0.0,6.0,185571.429,61.9835,0.583,1.0,0.0,0.0,0.0,2018-12-31,10
44,4.0,81.098,47000.0,0.139,1650000.0,13230000.0,3788175.0604996635,392.994,0.18,5231789.035391823,0.277,2498465.8021796024,0.0,3.0,185600.0,67.7686,1.583,1.0,0.0,0.0,0.0,2019-12-31,10
