,AUDIT_COMMITTEE_MEETINGS,SAY_PAY_SUPPORT_LEVEL,TOT_OTHER_COMP_AW_TO_CEO_&_EQUIV,TOTAL_EXEC_PAY_AS_PCT_OPEX,TOT_SALARIES_PAID_TO_CEO_&_EQUIV,TOT_SALARIES_&_BNS_PD_TO_EXECS,TOT_N_EQTY_INCENT_GIVEN_TO_EXECS,SAY_PAY_NUMBER_OF_VOTES_FOR,TOT_EXEC_PAY_AS_PCT_SG&A_NET_R&D,TOT_OPTION_AWARDS_GIVEN_TO_EXECS,TOT_EXEC_PAY_AS_PCT_TOT_PSNL_EXP,TOT_N_EQT_INCENT_GVN_TO_CEO_&_EQ,PCT_BOD_COMP_PD_IN_STK_AWD,NUM_EXECUTIVE_CHANGES,AVERAGE_BOD_TOTAL_COMPENSATION,ESG_DISCLOSURE_SCORE,CFO_TENURE_AS_OF_FY_END,CHG_OF_CTRL_BFIT_GOLD_CHUTE_AGR,CLAWBACK_PROVISION_FOR_EXEC_COMP,GENDER_PAY_GAP_BREAKOUT,BLANK_CHECK_PREFERRED_AUTHORIZED,Dates,Entreprises
56,13.0,97.291,127050.0,0.0054,1155000.0,2808585.0,3125036.0,5723.24,0.0089,-4356387.243756096,0.0715,2525036.0,19.0535,0.0,156398.25,68.1818,7.588276047517182,0.0,0.0,0.0,-2.5624256422620046,2016-12-31,22
57,15.0,87.66,161700.0,0.0078,1366689.0,4222401.0,3125036.0,5456.94,0.0089,-4305446.769141225,0.1117,2525036.0,19.0535,0.0,173221.0,68.595,7.393696189515994,0.0,0.0,1.0,-2.406840435568503,2017-12-31,22
58,14.0,95.894,161700.0,0.0092,1470000.0,4868094.0,3125036.0,6169.5,0.0089,-4287927.468337971,0.1316,2525036.0,19.0535,0.0,179460.625,67.3554,7.3347398673521,1.0,0.0,1.0,-2.3555493549660405,2018-12-31,22
59,12.0,97.401,161700.0,0.0084,1470000.0,5247606.0,3125036.0,6977.68,0.0089,-4236951.9962761775,0.1325,2525036.0,19.0535,0.0,178639.75,65.7025,7.363845805831458,1.0,0.0,1.0,-2.293969423482647,2019-12-31,22
60,7.0,85.59050142085994,428947.5396733978,0.4337255196186276,1410758.9329632465,22205938.76273998,1771660.5000285066,891.8876589500924,0.04553007786348573,1692434.453771586,0.8684109253036127,1245057.4186645402,0.44891460145871065,1.2627678200830135,235065.7116181574,48.5477,5.227087335011171,0.32499326437789466,0.24562262509555843,0.2131516995121281,0.1679029049120333,2005-12-31,25
61,6.0,85.59045707285128,428941.52576513076,0.4458491953956911,1410757.7631488303,22206093.438505106,1771657.790614013,891.8795100889638,0.1666234922404044,1692438.01152405,0.8298390427624072,1245058.8342645545,0.4400285726561606,1.2627177540460253,235068.88187520328,50.2075,5.227099229920205,0.3393871717332585,0.2064709035168253,0.1926462816607284,0.17206211412569172,2006-12-31,25
62,6.0,92.7090800119242,473517.68200975144,0.0061,2343286.0,4724535.0,2682671.565167549,2864.2290224914764,0.0062,350045.8751721472,0.113,1538318.4099546564,2.700428556300352,2.0,84249.2,52.6971,4.1463767488773495,0.3692804485370037,0.19607876054814888,0.12961104751080654,0.0763262416108994,2007-12-31,25
63,7.0,92.57287153733353,503394.74225639785,0.0027,1250000.0,2746335.0,1450138.5548052038,2032.2885646331504,0.0027,189856.6546773017,0.0603,874020.5749164127,4.02327354690442,0.0,74129.6667,48.5477,4.120577819676852,0.20938219646051748,0.16455523335954503,0.07146864038693224,0.21911220179389557,2008-12-31,25
64,6.0,92.57800459255684,501270.97654594714,0.0043,1310000.0,2862875.0,1501874.6898904254,2077.8780177754775,0.0044,199403.68072190887,0.0686,903594.7532361156,3.961940977048016,0.0,90874.6154,53.9419,4.234198894842683,0.2509835123728007,0.07390051265847752,0.0437432153332189,0.15514881946131376,2009-12-31,25
65,6.0,92.42333571995866,496986.68414092297,0.0049,1426452.0,3534850.0,1656237.2681753386,2135.564675277129,0.0049,251901.02167346282,0.0955,989572.6705254355,3.7496323661582522,1.0,75942.8462,56.8465,4.125884096979661,0.3013082057547808,0.03736577795084095,0.06002457862495447,0.13254574635165306,2010-12-31,25
