Dates;Entreprises;NUMBER_EMPLOYEES_CSR;AUDIT_COMMITTEE_MEETINGS;^GSPC;^N100;SAY_PAY_SUPPORT_LEVEL;TOT_OTHER_COMP_AW_TO_CEO_&_EQUIV;TOTAL_EXEC_PAY_AS_PCT_OPEX;TOT_SALARIES_PAID_TO_CEO_&_EQUIV;TOT_SALARIES_&_BNS_PD_TO_EXECS;TOT_N_EQTY_INCENT_GIVEN_TO_EXECS;SAY_PAY_NUMBER_OF_VOTES_FOR;TOT_EXEC_PAY_AS_PCT_SG&A_NET_R&D;TOT_OPTION_AWARDS_GIVEN_TO_EXECS;TOT_EXEC_PAY_AS_PCT_TOT_PSNL_EXP;TOT_N_EQT_INCENT_GVN_TO_CEO_&_EQ;PCT_BOD_COMP_PD_IN_STK_AWD;NUM_EXECUTIVE_CHANGES;AVERAGE_BOD_TOTAL_COMPENSATION;ESG_DISCLOSURE_SCORE;CFO_TENURE_AS_OF_FY_END;CHG_OF_CTRL_BFIT_GOLD_CHUTE_AGR;CLAWBACK_PROVISION_FOR_EXEC_COMP;GENDER_PAY_GAP_BREAKOUT;BLANK_CHECK_PREFERRED_AUTHORIZED;yearly_return;^STOXX50E
2007-12-31;ENEL IM Equity;73500.0;;0.020817626510975632;0.008403105062703808;89.05110766023444;1902582.3;0.015699999999999992;600000.0000000001;2310000.0;2091236.3897474387;2349.7046484075513;0.7027547793034447;801923.8245678253;0.1775;936579.8741303253;1.9001011307230355;0.0;118107.1429;43.3884;4.4128822819733635;0;0;0;0;10.55071;0.05002243845883725
2008-12-31;ENEL IM Equity;75981.0;;-0.35810856166087257;-0.4186380198534567;87.6387038039079;2036308.24;0.011799999999999977;600000.0000000001;2110000.0;445725.41846865334;-629.9198170133113;-3.514546742372685;-1399183.8039910728;0.1511;1048618.3366381812;1.5909925188022895;0.0;91993.41439999998;49.1736;5.284173039319201;0;0;0;0;-39.5957;-0.4114961197953512
2009-12-31;ENEL IM Equity;81208.0;;0.2016746979887245;0.20124958740542387;89.410828486365;1411614.18;0.009599999999999997;600000.0000000001;2242426.2300000004;1778820.5218655781;2286.75831819851;0.009600000000000053;952598.3940434798;0.10419999999999996;1066833.5479938556;2.4291065862851196;0.0;119107.1429;57.8512;4.6006724793734755;0;0;0;0;12.78323;0.16583460608511724
2010-12-31;ENEL IM Equity;78313.0;13.0;0.12633439234884314;0.014758810779721632;85.77452983820515;2661678.51;0.014200000000000046;600000.0000000001;3960000.0;1050073.963339245;841.6273157176593;0.01419999999999999;406072.1803886349;0.1794;1006783.7778460409;2.768244546905513;0.0;118571.4286;64.4628;4.2288830453163575;0;0;0;0;-1.549856000000002;-0.056170741353302016
2011-12-31;ENEL IM Equity;75360.0;13.0;0.0009859816472339578;-0.1317874774261938;91.49179745490916;2661678.51;0.008900000000000019;1382582.0;4314455.0;2931873.0;1501.3031552476264;0.008900000000000019;-372167.79539076705;0.14179999999999993;2931873.0;0.6627253839461664;0.0;89733.80000000002;67.3554;3.666620695014663;0;0;0;0;-9.415385000000002;-0.15400529625231962
2012-12-31;ENEL IM Equity;73702.0;13.0;0.1617019056626079;0.15008838192295235;89.52650928927169;0.0;0.008900000000000019;1423357.0;5298393.0;3125036.0;2022.1281678583944;0.008900000000000019;1358543.058753623;0.12;2525036.0;3.186586801585297;1.0;143142.85709999996;68.1818;5.029248973196418;0;0;0;0;6.894105000000001;0.1391163144742007
2013-12-31;ENEL IM Equity;71394.0;13.0;0.2535454287072507;0.15261624386330985;92.57820265268596;74365.0;0.006300000000000028;1424261.0;3203735.0;3125036.0;1119.9774285733915;0.008900000000000019;-298497.1581664621;0.09560000000000002;2525036.0;19.0535;0.0;275540.5;66.9421;4.798514499914059;0;0;0;0;7.474202;0.1327333490511604
2014-12-31;ENEL IM Equity;68961.0;13.0;0.1206790194155467;0.03677604077121965;92.56222089291428;74365.0;0.006300000000000028;1424261.0;0.0;3125036.0;2104.3970240329404;0.008900000000000019;-204912.37942913384;0.09560000000000002;2525036.0;19.0535;0.0;143171.0;66.9421;3.5616712640469363;0;0;0;0;19.978089999999998;0.02018307261370711
2015-12-31;ENEL IM Equity;67914.0;13.0;-0.007904825985452724;0.07967845668137352;89.14861960590639;127050.0;0.0044999999999999485;1155000.0;2541000.0;3125036.0;2123.6556668652324;0.008900000000000019;661458.1845128761;0.05689999999999995;2525036.0;19.0535;0.0;146155.5;68.1818;4.141812769442976;0;0;0;0;8.784945;0.044518198599653225
2016-12-31;ENEL IM Equity;62080.0;13.0;0.1046855668232265;0.050606783907550135;97.291;127050.0;0.005400000000000016;1155000.0;2808585.0;3125036.0;5723.24;0.008900000000000019;615049.2697399233;0.07150000000000001;2525036.0;19.0535;0.0;156398.25;68.1818;5.330318201817217;0;0;0;0;11.95743;0.015468421523568976
2017-12-31;ENEL IM Equity;62900.0;15.0;0.198208368270798;0.09478953255324174;87.66;161700.0;0.007800000000000029;1366689.0;4222401.0;3125036.0;5456.94;0.008900000000000019;9434.343235924607;0.11170000000000002;2525036.0;19.0535;0.0;173221.0;68.595;3.2653258057769063;0;0;1;0;27.510609999999996;0.05317903697204618
2018-12-31;ENEL IM Equity;69272.0;14.0;-0.07633121497749308;-0.12635646335293693;95.89399999999999;161700.0;0.00919999999999993;1470000.0;4868094.0;3125036.0;6169.5;0.008900000000000019;581997.1056176764;0.13160000000000005;2525036.0;19.0535;0.0;179460.625;67.3554;4.056861338464554;1;0;1;0;3.084868;-0.14733312932946283
2019-12-31;ENEL IM Equity;68253.0;12.0;0.3002384464476182;0.2810562486423651;97.40100000000001;161700.0;0.008400000000000019;1470000.0;5247606.0;3125036.0;6977.68;0.008900000000000019;-1196627.2974580703;0.13250000000000006;2525036.0;19.0535;0.0;178639.75;65.7025;3.1705565467914703;1;0;1;0;47.20473;0.2693366319549069
2005-12-31;FP FP Equity;112877.0;7.0;0.03001022658127717;0.24194382281582086;92.43185980295338;-1611058.0101713354;4.579489054815451;2245759.5676951837;-76249894.52245225;2964740.8561910447;2891.7885052735737;0.43504430309073855;110952.4226519037;0.5448403057374427;752816.0400806151;1.7047129078177314;0.6645324054306735;96596.08228122047;48.5477;4.232469868879275;0;0;1;0;36.14232;0.23060788906712476
2006-12-31;FP FP Equity;95070.0;6.0;0.13597800585018627;0.19175369386878935;90.6032233255357;1478865.9963585702;-0.37815240949434253;1665817.5036582646;70318983.2405054;1025200.0601693686;544.5194269155502;-2.283097834344077;-1307493.5694201342;2.80977055290456;911949.5781203016;-1.1916923223211118;2.4234276947545648;479779.63957637775;50.2075;3.3317094974273633;0;0;0;0;7.854539;0.12608706323169705
2007-12-31;FP FP Equity;96442.0;6.0;0.020817626510975632;0.008403105062703808;89.43597746494981;1830340.732014763;0.006099999999999994;2343286.0;4724535.0;780263.3192048052;403.42246952295363;0.006199999999999983;-691533.6471817575;0.11299999999999999;898804.0328851094;0.5544702075290453;2.0;84249.19999999998;52.6971;4.821842830771811;0;0;0;0;7.788136;0.05002243845883725
